2019-05-01 14:30:03,500 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=27
2019-05-01 14:30:03,500 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=38
2019-05-01 14:30:03,500 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=3
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1 Request processed in 57 ms.
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    TextToMaryXML took 0 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    JTokeniser took 1 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    Preprocess took 1 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    OpenNLPPosTagger took 2 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    JPhonemiser took 1 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    Prosody took 0 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    PronunciationModel took 1 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    AcousticModeller took 9 ms
2019-05-01 14:30:03,505 [Thread-4] INFO  marytts.R 1    Synthesis took 41 ms
2019-05-01 14:30:10,210 [Thread-4] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", audio "WAVE")
2019-05-01 14:30:10,210 [Thread-4] INFO  marytts.R 1 Handling request using the following modules:
2019-05-01 14:30:10,210 [Thread-4] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2019-05-01 14:30:10,210 [Thread-4] INFO  marytts.R 1 Next module: TextToMaryXML
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 Handling request using the following modules:
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2019-05-01 14:30:10,211 [Thread-4] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2019-05-01 14:30:10,212 [Thread-4] INFO  marytts.R 1 Next module: JTokeniser
2019-05-01 14:30:10,212 [Thread-4] INFO  marytts.R 1 Next module: Preprocess
2019-05-01 14:30:10,212 [Thread-4] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2019-05-01 14:30:10,212 [Thread-4] INFO  marytts.R 1 Next module: JPhonemiser
2019-05-01 14:30:10,212 [Thread-4] INFO  marytts.R 1 Next module: Prosody
2019-05-01 14:30:10,213 [Thread-4] INFO  marytts.R 1 Next module: PronunciationModel
2019-05-01 14:30:10,213 [Thread-4] INFO  marytts.R 1 Next module: AcousticModeller
2019-05-01 14:30:10,215 [Thread-4] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2019-05-01 14:30:10,215 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:10,215 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=5
2019-05-01 14:30:10,215 [Thread-4] INFO  marytts.R 1 Next module: Synthesis
2019-05-01 14:30:10,215 [Thread-4] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2019-05-01 14:30:10,216 [Thread-4] INFO  marytts.HTSEngine Using prosody from acoustparams.
2019-05-01 14:30:10,216 [Thread-4] INFO  marytts.HTSEngine Number of models in sentence numModel=4  Total number of states numState=20
2019-05-01 14:30:10,216 [Thread-4] INFO  marytts.HTSEngine Total number of frames=198  Number of voiced frames=62
2019-05-01 14:30:10,216 [Thread-4] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2019-05-01 14:30:10,216 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:10,217 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=26
2019-05-01 14:30:10,218 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=62
2019-05-01 14:30:10,218 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=40
2019-05-01 14:30:10,219 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=65
2019-05-01 14:30:10,220 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=35
2019-05-01 14:30:10,220 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=28
2019-05-01 14:30:10,221 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=52
2019-05-01 14:30:10,221 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=18
2019-05-01 14:30:10,221 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=3
2019-05-01 14:30:10,222 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=31
2019-05-01 14:30:10,222 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=27
2019-05-01 14:30:10,223 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=37
2019-05-01 14:30:10,223 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=3
2019-05-01 14:30:10,223 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=9
2019-05-01 14:30:10,224 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=9
2019-05-01 14:30:10,224 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=2
2019-05-01 14:30:10,224 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=2
2019-05-01 14:30:10,225 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=9
2019-05-01 14:30:10,225 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2019-05-01 14:30:10,225 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=3
2019-05-01 14:30:10,225 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=2
2019-05-01 14:30:10,226 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=11
2019-05-01 14:30:10,226 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=2
2019-05-01 14:30:10,226 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=2
2019-05-01 14:30:10,227 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=4
2019-05-01 14:30:10,227 [Thread-4] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2019-05-01 14:30:10,227 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:10,227 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=8
2019-05-01 14:30:10,228 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2019-05-01 14:30:10,228 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=42
2019-05-01 14:30:10,229 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=65
2019-05-01 14:30:10,229 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=2
2019-05-01 14:30:10,229 [Thread-4] INFO  marytts.R 1 Request processed in 19 ms.
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    TextToMaryXML took 1 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    JTokeniser took 0 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    Preprocess took 0 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    OpenNLPPosTagger took 0 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    JPhonemiser took 0 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    Prosody took 1 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    PronunciationModel took 0 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    AcousticModeller took 2 ms
2019-05-01 14:30:10,230 [Thread-4] INFO  marytts.R 1    Synthesis took 14 ms
